| # | Views | Change | Path | Page |
|---|-------|--------|------|------|
| 1 | 2967 | +802% | /ai-lab | About AI-LAB |
| 2 | 2527 | +891% | / | Home |
| 3 | 2112 | +1245% | /ucloud/guides/application-guides/transcriber | Transcriber |
| 4 | 2103 | +651% | /ucloud | About UCloud |
| 5 | 1460 | +998% | /ai-cloud | About AI Cloud |
| 6 | 1419 | +697% | /ucloud/how-to-access | How to access |
| 7 | 1379 | +878% | /strato | About Strato |
| 8 | 1169 | (new) | /ai-lab/guides/login | 2. Login |
| 9 | 1045 | +1074% | /ai-lab/how-to-access | How to access |
| 10 | 1005 | (new) | /ai-lab/guides | Index |
| 11 | 1005 | (new) | /ai-lab/guides/file-handling | 3. File Handling |
| 12 | 39764 | (new) | /ai-lab/guides/running-jobs | 4. Running Jobs |
| 13 |  | +1058% | /strato/how-to-access | How to access |
| 14 |  | (new) | /ai-lab/guides/using-containers | 6. Using Containers |
| 15 |  | (new) | /ai-lab/guides/getting-containers | 5. Getting Containers |
| 16 |  | +834% | /ai-lab/system-overview | System overview |
| 17 |  | +982% | /ai-cloud/how-to-access | How to access |
| 18 |  | +1217% | /ai-cloud/system-overview | System overview |
| 19 |  | +1081% | /strato/getting-started/launch-instance | Launch instance |
| 20 |  | (new) | /ai-lab/guides/monitoring | 7. Monitoring |
| 21 |  | +620% | /strato/getting-started | Before you begin |
| 22 | 39441 | (new) | /ai-lab/guides/batch-llm-inference | Batch LLM Inference |
| 23 |  | +1021% | /strato/getting-started/access-instance | Access instance |
| 24 |  | (new) | /ai-lab/guides/prerequisites | 1. Prerequisites |
| 25 |  | +706% | /ai-cloud/getting-started | Before you begin |
| 26 |  | +974% | /ucloud/guides/getting-started/before-you-begin | Before you begin |
| 27 |  | +1721% | /ai-cloud/getting-started/login | Log in |
| 28 |  | +1575% | /ucloud/guides/sensitive-data-on-ucloud | Guidelines for handling sensitive data |
| 29 |  | (new) | /ai-lab/guides/video-onboarding-guide | Video Onboarding Guide |
| 30 |  | +559% | /external-hpc | External HPC facilities |
| 31 |  | +1365% | /ucloud/terms-and-conditions | Terms and Conditions |
| 32 | 39244 | (new) | /service-windows | Service windows |
| 33 |  | +575% | /hpc-decision-tree | HPC Decision Tree |
| 34 |  | +560% | /strato/application-guides/strato-applications | Strato applications |
| 35 |  | +826% | /ucloud/guides/getting-started/transfer-files | File transfer |
| 36 |  | +1039% | /ai-cloud/getting-started/running-jobs | Running jobs |
| 37 |  | +712% | /ai-cloud/additional-guides/building-your-own-container-image | Building your own container image |
| 38 |  | +1820% | /ai-lab/fair-usage | AAU HPC #38 189 +2600% /strato/getting-started/transfer-files Transfer files |
| 39 |  | (new) | /hpc-cost-estimator | HPC Cost Estimator |
| 41 |  | (new) | /ai-lab/troubleshooting | Troubleshooting |
| 42 | 39182 | +264% | /ucloud/guides/application-guides/transcriber/transcriber-video | Transcriber guide videos |
| 43 |  | +496% | /ai-cloud/additional-guides/checking-the-queue | Checking the queue |
| 44 |  | +1560% | /ai-cloud/additional-guides/multiple-gpus-with-pytorch | Multiple GPUs with PyTorch |
| 45 |  | (new) | /ucloud/guides/application-guides/ChatUI | ChatUI |
| 46 |  | +1440% | /ai-cloud/additional-guides/run-a-batch-script | Run a batch script |
| 47 |  | +665% | /ai-cloud/additional-guides/download-container-images | Pulling container images from the internet |
| 48 |  | +873% | /ai-cloud/terms-and-conditions | Terms and Conditions |
| 49 |  | +914% | /ai-cloud/additional-guides/cpu-gpu-and-memory-allocation | CPU, GPU, and memory allocation |
| 50 |  | +281% | /ai-lab/additional-guides/adding-python-packages-via-virtual-environment | Adding python packages via virtual environment |
| 51 |  | +3375% | /ai-cloud/fair-usage | Fair usage |
| 52 | 39138 | +1155% | /ai-cloud/additional-guides/creating-a-conda-environment | Creating a conda environment |
| 53 |  | +1240% | /strato/getting-started/before-you-begin | AAU HPC #53 133 (new) /ai-cloud/additional-guides/batch-llm-inference AAU HPC #54 131 +495% /strato/advanced-guides/command-line-interface-access Command line interface access |
| 54 |  | +550% | /strato/terms-and-conditions | Terms and Conditions |
| 55 |  | (new) | /ai-cloud/getting-started/file-transfer | File transfer |
| 56 |  | +1233% | /ai-cloud/additional-guides/checking-the-status-of-compute-nodes | Checking the status of compute nodes |
| 57 |  | (new) | /ai-cloud/getting-started/pulling-containers | Pulling containers |
| 58 |  | (new) | /external-hpc/lumi | LUMI |
| 59 |  | +1557% | /ai-cloud/additional-guides/checkpointing | Checkpointing |
| 60 | 39115 | +238% | /ai-lab/additional-guides/multiple-gpus-with-pytorch | Multiple GPUs with PyTorch |
| 61 |  | (new) | /ucloud/guides/application-guides/Voyant-Tools | Voyant Tools |
| 62 |  | +245% | /ai-cloud/getting-started/file-management | File transfer |
| 63 |  | (new) | /hpc-comparison-table | HPC Comparison Tree |
| 64 |  | +479% | /strato/application-guides/matlab | Matlab |
| 65 |  | +1263% | /ai-cloud/getting-started/next-steps | Next steps |
| 66 |  | +110% | /ucloud/guides/application-guides/ChatUI/ChatUI-teaching | ChatUI for teachers |
| 67 |  | (new) | /ai-lab/guides/checkpointing | Checkpointing |
| 68 |  | +1250% | /ai-lab/additional-guides/building-your-own-container-image-locally | Building your own container image locally |
| 69 |  | +1414% | /ai-cloud/additional-guides/adding-python-packages-via-virtual-environment | Adding python packages via virtual environment |
| 70 | 39103 | (new) | /ai-lab/guides/requeuing-jobs | Requeuing jobs |
| 71 |  | +1840% | /ai-cloud/additional-guides/cancelling-jobs | Cancelling jobs |
| 72 |  | (new) | /external-hpc/deic-resources | DeiC HPC resources |
| 73 |  | +405% | /strato/best-practice-guides/delete-and-restart-an-instance-from-the-volume | Delete and restart an instance from the volume |
| 74 |  | (new) | /ai-cloud/getting-started/run-jobs | Run jobs |
| 75 |  | +1229% | /ai-cloud/additional-guides/checking-gpu-usage | Checking GPU usage |
| 76 |  | +577% | /ai-cloud/additional-guides/setting-a-time-limit | Setting a time limit |
| 77 |  | +938% | /strato/application-guides/jupyter-notebook | Jupyter Notebook |
| 78 |  | +204% | /external-hpc/deic-hpc | DeiC HPC |
| 79 |  | (new) | /ai-lab/guides/ci-cd-with-github-actions | CI/CD with GitHub Actions |
| 80 | 3976 | +744% | /ailab | AAU HPC #82 74 +164% /ai-lab/additional-guides/checking-the-status-of-compute-nodes Checking the status of compute nodes |
| 81 |  | +23% | /ai-lab/additional-guides/running-a-container-in-interactive-mode | Running a container in interactive mode |
| 82 |  | (new) | /ucloud/providers | Providers |
| 83 |  | +1320% | /strato/getting-started/shutting-down | Shutting down |
| 84 |  | +6500% | /strato/advanced-guides/persistent-terminal-sessions | Persistent terminal sessions |
| 85 |  | -32% | /ai-lab/getting-started/login | Login |
| 86 |  | +333% | /external-hpc/eurohpc | EuroHPC |
| 87 |  | +1475% | /strato/advanced-guides/attaching-a-volume-for-additional-storage | Attaching a volume for additional storage |
| 88 |  | +125% | /ai-lab/applications/ollama-and-llm | Ollama and llm |
| 89 | 3963 | -64% | /ai-lab/getting-started | Before you begin |
| 90 |  | +65% | /ai-lab/additional-guides/cpu-gpu-and-memory-allocation | CPU, GPU, and memory allocation |
| 91 |  | +1275% | /strato/application-guides/docker | Docker |
| 92 |  | +26% | /ai-lab/additional-guides/checking-gpu-usage | Checking GPU usage |
| 93 |  | (new) | /ai-cloud/getting-started/transfer-files | Transfer files |
| 94 |  | (new) | /ai-lab/guides/additional-guides | 8. Additional Guides |
| 95 |  | (new) | /ai-cloud/additional-guides/local-scratch-space | Local scratch space |
| 96 |  | (new) | /strato/advanced-guides/transfer-volume | Transfer volumes using the strato web interface |
| 97 |  | +124% | /ai-cloud/getting-started/getting-applications | Getting applications |
| 98 |  | (new) | /ai-cloud/getting-started/login/file-management.md | AAU HPC 39 44 +1367% /strato/advanced-guides/custom-security-groups Custom security groups |
| 99 |  | +514% | /ucloud/external-collaborator | External collaborators |
| 100 |  | (new) | /ai-cloud/getting-started/container-images | Container images |
